Array,11,156
Backtracking,2,16
Binary,3,37
Binary Tree,4,54
BST,2,16
Divide & Conquer,3,30
Dynamic Programming,5,59
Graphs,3,37
Heap,11,16
Linked List,3,37
Matrix,3,43
Queue,2,26
Sorting,4,47
Stack,2,17
String,6,83
Trie,9,9
Greedy,7,7
Puzzles,3,30
